idx,x,y,z,u,v,reachable
157,0.4200,0.0691,0.3557,-0.0691,0.0557,1
158,0.4200,0.0581,0.3649,-0.0581,0.0649,1
159,0.4200,0.0460,0.3720,-0.0460,0.0720,1
160,0.4200,0.0331,0.3770,-0.0331,0.0770,1
161,0.4200,0.0199,0.3797,-0.0199,0.0797,1
162,0.4200,0.0066,0.3803,-0.0066,0.0803,1
163,0.4200,-0.0063,0.3786,0.0063,0.0786,1
164,0.4200,-0.0185,0.3750,0.0185,0.0750,1
165,0.4200,-0.0297,0.3695,0.0297,0.0695,1
166,0.4200,-0.0396,0.3624,0.0396,0.0624,1
167,0.4200,-0.0481,0.3540,0.0481,0.0540,1
168,0.4200,-0.0549,0.3445,0.0549,0.0445,1
169,0.4200,-0.0599,0.3343,0.0599,0.0343,1
170,0.4200,-0.0631,0.3236,0.0631,0.0236,1
171,0.4200,-0.0645,0.3128,0.0645,0.0128,1
172,0.4200,-0.0641,0.3022,0.0641,0.0022,1
173,0.4200,-0.0619,0.2920,0.0619,-0.0080,1
174,0.4200,-0.0583,0.2826,0.0583,-0.0174,1
175,0.4200,-0.0532,0.2741,0.0532,-0.0259,1
176,0.4200,-0.0470,0.2668,0.0470,-0.0332,1
177,0.4200,-0.0399,0.2609,0.0399,-0.0391,1
178,0.4200,-0.0321,0.2563,0.0321,-0.0437,1
179,0.4200,-0.0238,0.2531,0.0238,-0.0469,1
180,0.4200,-0.0155,0.2515,0.0155,-0.0485,1
181,0.4200,-0.0072,0.2512,0.0072,-0.0488,1
182,0.4200,0.0007,0.2523,-0.0007,-0.0477,1
183,0.4200,0.0081,0.2547,-0.0081,-0.0453,1
184,0.4200,0.0148,0.2582,-0.0148,-0.0418,1
185,0.4200,0.0205,0.2625,-0.0205,-0.0375,1
186,0.4200,0.0253,0.2676,-0.0253,-0.0324,1
187,0.4200,0.0290,0.2732,-0.0290,-0.0268,1
188,0.4200,0.0315,0.2792,-0.0315,-0.0208,1
189,0.4200,0.0330,0.2852,-0.0330,-0.0148,1
190,0.4200,0.0334,0.2911,-0.0334,-0.0089,1
191,0.4200,0.0327,0.2968,-0.0327,-0.0032,1
192,0.4200,0.0312,0.3020,-0.0312,0.0020,1
193,0.4200,0.0288,0.3066,-0.0288,0.0066,1
194,0.4200,0.0259,0.3106,-0.0259,0.0106,1
195,0.4200,0.0224,0.3137,-0.0224,0.0137,1
196,0.4200,0.0187,0.3161,-0.0187,0.0161,1
197,0.4200,0.0148,0.3176,-0.0148,0.0176,1
198,0.4200,0.0109,0.3184,-0.0109,0.0184,1
199,0.4200,0.0072,0.3184,-0.0072,0.0184,1
200,0.4200,0.0038,0.3177,-0.0038,0.0177,1
201,0.4200,0.0008,0.3164,-0.0008,0.0164,1
202,0.4200,-0.0017,0.3147,0.0017,0.0147,1
203,0.4200,-0.0036,0.3127,0.0036,0.0127,1
204,0.4200,-0.0049,0.3104,0.0049,0.0104,1
205,0.4200,-0.0056,0.3081,0.0056,0.0081,1
206,0.4200,-0.0057,0.3060,0.0057,0.0060,1
207,0.4200,-0.0052,0.3040,0.0052,0.0040,1
208,0.4200,-0.0044,0.3023,0.0044,0.0023,1
209,0.4200,-0.0031,0.3010,0.0031,0.0010,1
210,0.4200,-0.0016,0.3003,0.0016,0.0003,1
211,0.4200,0.0000,0.3000,0.0000,0.0000,1
