idx,x,y,z,u,v,reachable
223,-0.1152,-0.1400,0.0200,-0.5152,-0.1400,1
224,-0.1350,-0.1400,0.0200,-0.5350,-0.1400,1
225,-0.1350,-0.1200,0.0200,-0.5350,-0.1200,1
226,-0.1350,-0.1000,0.0200,-0.5350,-0.1000,1
227,-0.1152,-0.1000,0.0200,-0.5152,-0.1000,1
228,-0.0954,-0.1000,0.0200,-0.4954,-0.1000,1
229,-0.0756,-0.1000,0.0200,-0.4756,-0.1000,1
230,-0.0557,-0.1000,0.0200,-0.4557,-0.1000,1
231,-0.0359,-0.1000,0.0200,-0.4359,-0.1000,1
232,-0.0161,-0.1000,0.0200,-0.4161,-0.1000,1
233,0.0037,-0.1000,0.0200,-0.3963,-0.1000,1
234,0.0235,-0.1000,0.0200,-0.3765,-0.1000,1
235,0.0433,-0.1000,0.0200,-0.3567,-0.1000,1
236,0.0631,-0.1000,0.0200,-0.3369,-0.1000,1
237,0.0830,-0.1000,0.0200,-0.3170,-0.1000,1
238,0.1028,-0.1000,0.0200,-0.2972,-0.1000,1
239,0.1226,-0.1000,0.0200,-0.2774,-0.1000,1
240,0.1424,-0.1000,0.0200,-0.2576,-0.1000,1
241,0.1622,-0.1000,0.0200,-0.2378,-0.1000,1
242,0.1820,-0.1000,0.0200,-0.2180,-0.1000,1
243,0.2019,-0.1000,0.0200,-0.1981,-0.1000,1
244,0.2217,-0.1000,0.0200,-0.1783,-0.1000,1
245,0.2415,-0.1000,0.0200,-0.1585,-0.1000,1
246,0.2613,-0.1000,0.0200,-0.1387,-0.1000,1
247,0.2811,-0.1000,0.0200,-0.1189,-0.1000,1
248,0.3009,-0.1000,0.0200,-0.0991,-0.1000,1
249,0.3207,-0.1000,0.0200,-0.0793,-0.1000,1
250,0.3406,-0.1000,0.0200,-0.0594,-0.1000,1
251,0.3604,-0.1000,0.0200,-0.0396,-0.1000,1
252,0.3802,-0.1000,0.0200,-0.0198,-0.1000,1
253,0.4000,-0.1000,0.0200,0.0000,-0.1000,1
254,0.4198,-0.1000,0.0200,0.0198,-0.1000,0
255,0.4396,-0.1000,0.0200,0.0396,-0.1000,0
256,0.4594,-0.1000,0.0200,0.0594,-0.1000,0
257,0.4793,-0.1000,0.0200,0.0793,-0.1000,0
258,0.4991,-0.1000,0.0200,0.0991,-0.1000,0
259,0.5189,-0.1000,0.0200,0.1189,-0.1000,0
260,0.5387,-0.1000,0.0200,0.1387,-0.1000,0
261,0.5585,-0.1000,0.0200,0.1585,-0.1000,0
262,0.5783,-0.1000,0.0200,0.1783,-0.1000,0
263,0.5981,-0.1000,0.0200,0.1981,-0.1000,0
264,0.6180,-0.1000,0.0200,0.2180,-0.1000,0
265,0.6378,-0.1000,0.0200,0.2378,-0.1000,0
266,0.6576,-0.1000,0.0200,0.2576,-0.1000,0
267,0.6774,-0.1000,0.0200,0.2774,-0.1000,0
268,0.6972,-0.1000,0.0200,0.2972,-0.1000,0
269,0.7170,-0.1000,0.0200,0.3170,-0.1000,0
270,0.7369,-0.1000,0.0200,0.3369,-0.1000,0
271,0.7567,-0.1000,0.0200,0.3567,-0.1000,0
272,0.7765,-0.1000,0.0200,0.3765,-0.1000,0
273,0.7963,-0.1000,0.0200,0.3963,-0.1000,0
274,0.8161,-0.1000,0.0200,0.4161,-0.1000,0
275,0.8359,-0.1000,0.0200,0.4359,-0.1000,0
276,0.8557,-0.1000,0.0200,0.4557,-0.1000,0
277,0.8756,-0.1000,0.0200,0.4756,-0.1000,0
278,0.8954,-0.1000,0.0200,0.4954,-0.1000,0
279,0.9152,-0.1000,0.0200,0.5152,-0.1000,0
280,0.9350,-0.1000,0.0200,0.5350,-0.1000,0
281,0.9350,-0.0800,0.0200,0.5350,-0.0800,0
282,0.9350,-0.0600,0.0200,0.5350,-0.0600,0
283,0.9152,-0.0600,0.0200,0.5152,-0.0600,0
284,0.8954,-0.0600,0.0200,0.4954,-0.0600,0
285,0.8756,-0.0600,0.0200,0.4756,-0.0600,0
286,0.8557,-0.0600,0.0200,0.4557,-0.0600,0
287,0.8359,-0.0600,0.0200,0.4359,-0.0600,0
288,0.8161,-0.0600,0.0200,0.4161,-0.0600,0
289,0.7963,-0.0600,0.0200,0.3963,-0.0600,0
290,0.7765,-0.0600,0.0200,0.3765,-0.0600,0
291,0.7567,-0.0600,0.0200,0.3567,-0.0600,0
292,0.7369,-0.0600,0.0200,0.3369,-0.0600,0
293,0.7170,-0.0600,0.0200,0.3170,-0.0600,0
294,0.6972,-0.0600,0.0200,0.2972,-0.0600,0
295,0.6774,-0.0600,0.0200,0.2774,-0.0600,0
296,0.6576,-0.0600,0.0200,0.2576,-0.0600,0
297,0.6378,-0.0600,0.0200,0.2378,-0.0600,0
298,0.6180,-0.0600,0.0200,0.2180,-0.0600,0
299,0.5981,-0.0600,0.0200,0.1981,-0.0600,0
300,0.5783,-0.0600,0.0200,0.1783,-0.0600,0
301,0.5585,-0.0600,0.0200,0.1585,-0.0600,0
302,0.5387,-0.0600,0.0200,0.1387,-0.0600,0
303,0.5189,-0.0600,0.0200,0.1189,-0.0600,0
304,0.4991,-0.0600,0.0200,0.0991,-0.0600,0
305,0.4793,-0.0600,0.0200,0.0793,-0.0600,0
306,0.4594,-0.0600,0.0200,0.0594,-0.0600,0
307,0.4396,-0.0600,0.0200,0.0396,-0.0600,0
308,0.4198,-0.0600,0.0200,0.0198,-0.0600,0
309,0.4000,-0.0600,0.0200,0.0000,-0.0600,0
310,0.3802,-0.0600,0.0200,-0.0198,-0.0600,0
311,0.3604,-0.0600,0.0200,-0.0396,-0.0600,0
312,0.3406,-0.0600,0.0200,-0.0594,-0.0600,1
313,0.3207,-0.0600,0.0200,-0.0793,-0.0600,1
314,0.3009,-0.0600,0.0200,-0.0991,-0.0600,1
315,0.2811,-0.0600,0.0200,-0.1189,-0.0600,1
316,0.2613,-0.0600,0.0200,-0.1387,-0.0600,1
317,0.2415,-0.0600,0.0200,-0.1585,-0.0600,1
318,0.2217,-0.0600,0.0200,-0.1783,-0.0600,1
319,0.2019,-0.0600,0.0200,-0.1981,-0.0600,1
320,0.1820,-0.0600,0.0200,-0.2180,-0.0600,1
321,0.1622,-0.0600,0.0200,-0.2378,-0.0600,1
322,0.1424,-0.0600,0.0200,-0.2576,-0.0600,1
323,0.1226,-0.0600,0.0200,-0.2774,-0.0600,1
324,0.1028,-0.0600,0.0200,-0.2972,-0.0600,1
325,0.0830,-0.0600,0.0200,-0.3170,-0.0600,1
326,0.0631,-0.0600,0.0200,-0.3369,-0.0600,0
327,0.0433,-0.0600,0.0200,-0.3567,-0.0600,0
328,0.0235,-0.0600,0.0200,-0.3765,-0.0600,0
329,0.0037,-0.0600,0.0200,-0.3963,-0.0600,0
330,-0.0161,-0.0600,0.0200,-0.4161,-0.0600,0
331,-0.0359,-0.0600,0.0200,-0.4359,-0.0600,0
332,-0.0557,-0.0600,0.0200,-0.4557,-0.0600,0
333,-0.0756,-0.0600,0.0200,-0.4756,-0.0600,1
334,-0.0954,-0.0600,0.0200,-0.4954,-0.0600,1
335,-0.1152,-0.0600,0.0200,-0.5152,-0.0600,0
336,-0.1350,-0.0600,0.0200,-0.5350,-0.0600,0
337,-0.1350,-0.0467,0.0200,-0.5350,-0.0467,0
338,-0.1350,-0.0333,0.0200,-0.5350,-0.0333,0
