t,F_meas_N,speed_mps,mode,delta_m
1.5800,6.1286,0.1500,CONTACT,0.00597
1.5900,5.7157,0.1500,CONTACT,0.00600
1.6000,5.7072,0.1500,CONTACT,0.00604
1.6100,6.2366,0.1500,CONTACT,0.00601
1.6200,5.9399,0.1500,CONTACT,0.00602
1.6300,6.0880,0.1500,CONTACT,0.00601
1.6400,5.9531,0.1500,CONTACT,0.00601
1.6500,5.7913,0.1500,CONTACT,0.00603
1.6600,5.8230,0.1500,CONTACT,0.00605
1.6700,5.6081,0.1500,CONTACT,0.00610
1.6800,6.2961,0.1500,CONTACT,0.00607
1.6900,5.7487,0.1500,CONTACT,0.00609
1.7000,6.0240,0.1500,CONTACT,0.00609
1.7100,5.9975,0.1500,CONTACT,0.00609
1.7200,6.1600,0.1500,CONTACT,0.00607
1.7300,6.0959,0.1500,CONTACT,0.00606
1.7400,6.1310,0.1500,CONTACT,0.00605
1.7500,6.0695,0.1500,CONTACT,0.00604
1.7600,5.8955,0.1500,CONTACT,0.00605
1.7700,6.1823,0.1500,CONTACT,0.00603
1.7800,6.0494,0.1500,CONTACT,0.00603
1.7900,6.1105,0.1500,CONTACT,0.00601
1.8000,5.8535,0.1500,CONTACT,0.00603
1.8100,6.1860,0.1500,CONTACT,0.00601
1.8200,6.5639,0.1500,CONTACT,0.00595
1.8300,5.5101,0.1500,CONTACT,0.00600
1.8400,5.8399,0.1500,CONTACT,0.00602
1.8500,6.3872,0.1500,CONTACT,0.00598
1.8600,6.0792,0.1500,CONTACT,0.00597
1.8700,5.8015,0.1500,CONTACT,0.00599
1.8800,6.1307,0.1500,CONTACT,0.00597
1.8900,6.2286,0.1500,CONTACT,0.00595
1.9000,5.9375,0.1500,CONTACT,0.00596
1.9100,5.9476,0.1500,CONTACT,0.00596
1.9200,5.9907,0.1500,CONTACT,0.00596
1.9300,5.7654,0.1500,CONTACT,0.00599
1.9400,6.0363,0.1500,CONTACT,0.00598
1.9500,6.0417,0.1500,CONTACT,0.00598
1.9600,5.9556,0.1500,CONTACT,0.00599
1.9700,6.3865,0.1500,CONTACT,0.00594
1.9800,6.0168,0.1500,CONTACT,0.00594
1.9900,5.8276,0.1500,CONTACT,0.00596
2.0000,6.1996,0.1500,CONTACT,0.00594
2.0100,6.0664,0.1500,CONTACT,0.00593
2.0200,6.0833,0.1500,CONTACT,0.00592
2.0300,6.1983,0.1500,CONTACT,0.00590
2.0400,6.0736,0.1500,CONTACT,0.00589
2.0500,5.7313,0.1500,CONTACT,0.00592
2.0600,5.9408,0.1500,CONTACT,0.00593
2.0700,5.8350,0.1500,CONTACT,0.00595
2.0800,5.6985,0.1500,CONTACT,0.00598
2.0900,5.9654,0.1500,CONTACT,0.00598
2.1000,5.7820,0.1500,CONTACT,0.00601
2.1100,6.3922,0.1500,CONTACT,0.00596
2.1200,5.8503,0.1500,CONTACT,0.00598
2.1300,6.0901,0.1500,CONTACT,0.00597
2.1400,5.9201,0.1500,CONTACT,0.00598
2.1500,6.1530,0.1500,CONTACT,0.00596
2.1600,5.8929,0.1500,CONTACT,0.00597
2.1700,6.2322,0.1500,CONTACT,0.00595
2.1800,5.8950,0.1500,CONTACT,0.00596
2.1900,5.8148,0.1500,CONTACT,0.00598
2.2000,5.9802,0.1500,CONTACT,0.00598
2.2100,6.0692,0.1500,CONTACT,0.00597
2.2200,5.8135,0.1500,CONTACT,0.00600
2.2300,5.8236,0.1500,CONTACT,0.00602
2.2400,6.1307,0.1500,CONTACT,0.00600
2.2500,6.0001,0.1500,CONTACT,0.00600
2.2600,6.1677,0.1500,CONTACT,0.00598
2.2700,5.6747,0.1500,CONTACT,0.00602
2.2800,5.9665,0.1500,CONTACT,0.00602
2.2900,5.7264,0.1500,CONTACT,0.00605
2.3000,5.8656,0.1500,CONTACT,0.00607
2.3100,6.4372,0.1500,CONTACT,0.00602
2.3200,5.9291,0.1500,CONTACT,0.00603
2.3300,5.7320,0.1500,CONTACT,0.00606
2.3400,6.0514,0.1500,CONTACT,0.00605
2.3500,5.8030,0.1500,CONTACT,0.00607
2.3600,6.2111,0.1500,CONTACT,0.00605
2.3700,6.0219,0.1500,CONTACT,0.00605
2.3800,6.2666,0.1500,CONTACT,0.00602
2.3900,6.2219,0.1500,CONTACT,0.00599
2.4000,6.1322,0.1500,CONTACT,0.00598
2.4100,6.1361,0.1500,CONTACT,0.00596
2.4200,6.2436,0.1500,CONTACT,0.00594
2.4300,6.0256,0.1500,CONTACT,0.00593
2.4400,5.8877,0.1500,CONTACT,0.00594
2.4500,6.1874,0.1500,CONTACT,0.00592
2.4600,5.7745,0.1500,CONTACT,0.00595
2.4700,6.0238,0.1500,CONTACT,0.00595
2.4800,5.7308,0.1500,CONTACT,0.00598
2.4900,6.0981,0.1500,CONTACT,0.00597
2.5000,6.0428,0.1500,CONTACT,0.00596
2.5100,6.0271,0.1500,CONTACT,0.00596
2.5200,6.0232,0.1500,CONTACT,0.00596
2.5300,6.2651,0.1500,CONTACT,0.00593
2.5400,5.6374,0.1500,CONTACT,0.00597
2.5500,6.0663,0.1500,CONTACT,0.00596
2.5600,6.2290,0.1500,CONTACT,0.00593
2.5700,5.5778,0.1500,CONTACT,0.00598
2.5800,5.7683,0.1500,CONTACT,0.00601
2.5900,6.4995,0.1500,CONTACT,0.00595
2.6000,5.8538,0.1500,CONTACT,0.00597
2.6100,5.9844,0.1500,CONTACT,0.00597
2.6200,6.2210,0.1500,CONTACT,0.00594
2.6300,5.8579,0.1500,CONTACT,0.00596
2.6400,5.9092,0.1500,CONTACT,0.00597
2.6500,6.0191,0.1500,CONTACT,0.00597
2.6600,5.7642,0.1500,CONTACT,0.00599
2.6700,5.7490,0.1500,CONTACT,0.00602
2.6800,6.3593,0.1500,CONTACT,0.00598
2.6900,5.9525,0.1500,CONTACT,0.00599
2.7000,5.9764,0.1500,CONTACT,0.00599
2.7100,5.9508,0.1500,CONTACT,0.00600
2.7200,5.9549,0.1500,CONTACT,0.00600
2.7300,6.1115,0.1500,CONTACT,0.00599
2.7400,5.8976,0.1500,CONTACT,0.00600
2.7500,5.9176,0.1500,CONTACT,0.00601
2.7600,6.2601,0.1500,CONTACT,0.00598
2.7700,6.0620,0.1500,CONTACT,0.00597
2.7800,6.0098,0.1500,CONTACT,0.00597
2.7900,6.0476,0.1500,CONTACT,0.00597
2.8000,5.4448,0.1500,CONTACT,0.00603
2.8100,6.0082,0.1500,CONTACT,0.00603
2.8200,5.9174,0.1500,CONTACT,0.00604
2.8300,5.7583,0.1500,CONTACT,0.00606
2.8400,5.9189,0.1500,CONTACT,0.00607
2.8500,6.1845,0.1500,CONTACT,0.00605
2.8600,6.0736,0.1500,CONTACT,0.00604
2.8700,6.1108,0.1500,CONTACT,0.00603
2.8800,6.4908,0.1500,CONTACT,0.00598
2.8900,5.8296,0.1500,CONTACT,0.00600
2.9000,5.7998,0.1500,CONTACT,0.00602
2.9100,5.6324,0.1500,CONTACT,0.00606
2.9200,6.3500,0.1500,CONTACT,0.00602
2.9300,6.0446,0.1500,CONTACT,0.00601
2.9400,5.9634,0.1500,CONTACT,0.00602
2.9500,5.9281,0.1500,CONTACT,0.00603
2.9600,5.4978,0.1500,CONTACT,0.00608
2.9700,5.9603,0.1500,CONTACT,0.00609
2.9800,6.1504,0.1500,CONTACT,0.00607
2.9900,6.2520,0.1500,CONTACT,0.00604
3.0000,6.5173,0.1500,CONTACT,0.00598
3.0100,6.1240,0.1500,CONTACT,0.00597
3.0200,5.8726,0.1500,CONTACT,0.00598
