t,F_meas_N,speed_mps,mode,depth_m
13.882,2.905,0.169,CONTACT,0.00913
13.923,6.450,0.166,CONTACT,0.00924
13.965,10.126,0.164,CONTACT,0.00924
14.006,12.971,0.161,CONTACT,0.00914
14.049,12.874,0.200,CONTACT,0.00904
14.099,12.363,0.200,CONTACT,0.00897
14.148,10.367,0.200,CONTACT,0.00895
14.196,7.207,0.200,CONTACT,0.00905
14.245,4.164,0.200,CONTACT,0.00924
14.295,3.349,0.200,CONTACT,0.00946
14.344,3.512,0.156,CONTACT,0.00968
14.385,5.106,0.161,CONTACT,0.00984
14.426,7.321,0.165,CONTACT,0.00993
14.467,10.701,0.170,CONTACT,0.00991
14.509,12.138,0.175,CONTACT,0.00984
14.550,13.735,0.180,CONTACT,0.00971
14.590,13.124,0.160,CONTACT,0.00961
14.633,11.833,0.163,CONTACT,0.00955
14.675,11.655,0.166,CONTACT,0.00949
14.718,12.037,0.169,CONTACT,0.00942
14.760,12.382,0.172,CONTACT,0.00935
14.805,11.696,0.175,CONTACT,0.00929
14.845,9.137,0.164,CONTACT,0.00932
14.886,7.865,0.165,CONTACT,0.00939
14.928,8.013,0.166,CONTACT,0.00945
14.971,8.780,0.168,CONTACT,0.00950
15.014,10.075,0.169,CONTACT,0.00949
15.056,10.263,0.171,CONTACT,0.00948
15.098,9.403,0.166,CONTACT,0.00950
15.142,8.517,0.166,CONTACT,0.00955
15.183,8.939,0.167,CONTACT,0.00959
15.225,9.802,0.167,CONTACT,0.00960
15.267,10.404,0.168,CONTACT,0.00958
15.309,10.387,0.168,CONTACT,0.00957
15.349,9.626,0.167,CONTACT,0.00958
15.390,9.207,0.167,CONTACT,0.00961
15.433,9.341,0.167,CONTACT,0.00963
15.474,9.817,0.167,CONTACT,0.00964
15.517,10.198,0.166,CONTACT,0.00963
15.558,10.121,0.166,CONTACT,0.00963
15.598,9.875,0.164,CONTACT,0.00963
15.640,9.025,0.165,CONTACT,0.00966
15.681,8.615,0.166,CONTACT,0.00971
15.721,8.536,0.168,CONTACT,0.00976
15.763,8.688,0.169,CONTACT,0.00980
15.806,8.867,0.170,CONTACT,0.00984
15.847,9.115,0.167,CONTACT,0.00987
15.890,9.575,0.167,CONTACT,0.00988
15.930,10.346,0.167,CONTACT,0.00987
15.972,11.096,0.167,CONTACT,0.00983
16.013,11.457,0.167,CONTACT,0.00979
16.055,11.460,0.166,CONTACT,0.00974
16.097,10.563,0.169,CONTACT,0.00972
16.137,10.144,0.168,CONTACT,0.00971
16.179,10.167,0.167,CONTACT,0.00971
16.220,10.390,0.166,CONTACT,0.00969
16.260,10.659,0.166,CONTACT,0.00967
16.302,10.533,0.165,CONTACT,0.00966
16.345,9.870,0.172,CONTACT,0.00966
16.386,9.240,0.170,CONTACT,0.00968
16.426,9.358,0.168,CONTACT,0.00971
16.468,10.159,0.166,CONTACT,0.00970
16.509,10.635,0.164,CONTACT,0.00968
16.551,10.552,0.163,CONTACT,0.00966
16.593,9.834,0.174,CONTACT,0.00967
16.636,9.321,0.171,CONTACT,0.00969
16.679,9.504,0.169,CONTACT,0.00971
16.721,10.077,0.166,CONTACT,0.00970
16.761,10.563,0.163,CONTACT,0.00968
16.803,10.415,0.161,CONTACT,0.00967
16.845,9.916,0.175,CONTACT,0.00967
16.886,9.470,0.172,CONTACT,0.00969
16.927,9.289,0.169,CONTACT,0.00972
16.970,9.428,0.166,CONTACT,0.00973
17.011,9.622,0.163,CONTACT,0.00975
17.053,9.747,0.160,CONTACT,0.00976
17.094,9.598,0.171,CONTACT,0.00977
17.135,9.237,0.170,CONTACT,0.00979
17.177,9.014,0.168,CONTACT,0.00983
17.219,8.999,0.167,CONTACT,0.00986
17.260,9.176,0.165,CONTACT,0.00989
17.301,9.272,0.164,CONTACT,0.00991
17.343,9.458,0.164,CONTACT,0.00993
17.383,9.636,0.165,CONTACT,0.00994
17.425,9.906,0.167,CONTACT,0.00995
17.466,10.097,0.168,CONTACT,0.00994
17.506,10.135,0.170,CONTACT,0.00994
17.548,10.218,0.171,CONTACT,0.00993
17.588,10.151,0.160,CONTACT,0.00993
17.631,10.311,0.163,CONTACT,0.00991
17.673,10.737,0.166,CONTACT,0.00989
17.714,11.058,0.169,CONTACT,0.00985
17.756,11.253,0.172,CONTACT,0.00981
17.798,11.137,0.175,CONTACT,0.00978
17.839,10.299,0.161,CONTACT,0.00977
17.880,9.998,0.163,CONTACT,0.00977
17.921,10.095,0.166,CONTACT,0.00976
17.962,10.762,0.169,CONTACT,0.00974
18.003,11.086,0.171,CONTACT,0.00970
18.046,10.858,0.174,CONTACT,0.00967
18.087,10.037,0.163,CONTACT,0.00967
18.128,9.484,0.164,CONTACT,0.00969
18.169,9.652,0.166,CONTACT,0.00970
18.212,10.234,0.168,CONTACT,0.00969
18.253,10.656,0.170,CONTACT,0.00967
18.296,10.604,0.172,CONTACT,0.00965
18.340,9.964,0.165,CONTACT,0.00965
18.382,9.470,0.166,CONTACT,0.00967
18.424,9.597,0.166,CONTACT,0.00968
18.466,10.013,0.167,CONTACT,0.00968
18.507,10.339,0.168,CONTACT,0.00967
18.552,10.316,0.169,CONTACT,0.00966
18.593,9.778,0.166,CONTACT,0.00967
18.636,9.390,0.167,CONTACT,0.00969
18.678,9.526,0.167,CONTACT,0.00970
18.720,9.915,0.167,CONTACT,0.00971
18.762,10.230,0.167,CONTACT,0.00970
18.804,10.273,0.167,CONTACT,0.00969
18.847,9.907,0.164,CONTACT,0.00969
18.887,9.326,0.165,CONTACT,0.00972
18.928,9.053,0.166,CONTACT,0.00975
18.970,9.060,0.168,CONTACT,0.00978
19.012,9.164,0.169,CONTACT,0.00981
19.053,9.379,0.170,CONTACT,0.00983
19.096,9.462,0.168,CONTACT,0.00984
19.137,9.678,0.168,CONTACT,0.00986
19.179,10.166,0.167,CONTACT,0.00985
19.220,10.428,0.167,CONTACT,0.00984
