t,F_meas_N,speed_mps,mode,delta_m
4.9800,14.0625,0.2000,CONTACT,0.00854
4.9900,14.5977,0.2000,CONTACT,0.00804
5.0000,15.0838,0.2000,BACKOFF,0.00754
5.0100,15.0402,0.2000,BACKOFF,0.00704
5.0200,14.7950,0.2000,CONTACT,0.00654
5.0300,14.4724,0.2000,CONTACT,0.00605
5.0400,13.6795,0.2000,CONTACT,0.00564
5.0500,13.6400,0.2000,CONTACT,0.00523
5.0600,12.4941,0.2000,CONTACT,0.00496
5.0700,11.6922,0.2000,CONTACT,0.00477
5.0800,10.7559,0.2000,CONTACT,0.00468
5.0900,9.5459,0.2000,CONTACT,0.00473
5.1000,8.8495,0.2000,CONTACT,0.00486
5.1100,7.8698,0.2000,CONTACT,0.00510
5.1200,7.1267,0.2000,CONTACT,0.00542
5.1300,6.4693,0.2000,CONTACT,0.00581
5.1400,5.5039,0.2000,CONTACT,0.00631
5.1500,5.4894,0.2000,CONTACT,0.00681
5.1600,5.7572,0.2000,CONTACT,0.00728
5.1700,5.5533,0.2000,CONTACT,0.00777
5.1800,5.5853,0.2000,CONTACT,0.00827
5.1900,6.0719,0.2000,CONTACT,0.00870
5.2000,6.6717,0.2000,CONTACT,0.00907
5.2100,7.3540,0.2000,CONTACT,0.00937
5.2200,8.4573,0.2000,CONTACT,0.00954
5.2300,9.3453,0.2000,CONTACT,0.00961
5.2400,9.6413,0.2000,CONTACT,0.00965
5.2500,9.7672,0.2000,CONTACT,0.00968
5.2600,9.5683,0.2000,CONTACT,0.00972
5.2700,9.8274,0.2000,CONTACT,0.00974
5.2800,9.9252,0.2000,CONTACT,0.00975
5.2900,9.3856,0.2000,CONTACT,0.00982
5.3000,9.7601,0.2000,CONTACT,0.00985
5.3100,9.4290,0.2000,CONTACT,0.00991
